datetime,CDD,CWD,Prcp1,SDII,sum,mean,,year,month
1961-01-31,14.0,3.0,29.03225806451613,5.691111111111112,55.089999999999996,1.7770967741935482,5.691111111111111,1961,Jan
1961-02-28,12.0,3.0,28.57142857142857,9.895,80.86999999999999,2.888214285714285,9.895,1961,Feb
1961-03-31,16.0,3.0,25.806451612903224,11.868749999999999,97.58999999999996,3.148064516129031,11.86875,1961,Mar
1961-04-30,4.0,3.0,50.0,6.683333333333333,102.69999999999999,3.423333333333333,6.683333333333333,1961,Apr
1961-05-31,5.0,3.0,41.935483870967744,5.13,70.22,2.2651612903225806,5.130000000000001,1961,May
1961-06-30,5.0,2.0,31.03448275862069,9.553333333333335,88.08,3.0372413793103448,9.553333333333333,1961,Jun
1961-07-31,5.0,4.0,45.16129032258064,5.929285714285714,85.99,2.7738709677419355,5.929285714285714,1961,Jul
1961-08-31,5.0,3.0,32.25806451612903,14.508,146.57999999999998,4.728387096774193,14.508,1961,Aug
1961-09-30,13.0,2.0,13.333333333333334,5.6525,24.340000000000003,0.8113333333333335,5.6525,1961,Sep
1961-10-31,10.0,4.0,35.483870967741936,6.278181818181818,70.39999999999999,2.2709677419354835,6.278181818181818,1961,Oct
1961-11-30,4.0,4.0,46.666666666666664,5.843571428571428,83.66,2.7886666666666664,5.843571428571428,1961,Nov
1961-12-31,5.0,5.0,45.16129032258064,7.170714285714285,103.11999999999998,3.326451612903225,7.170714285714285,1961,Dec
1962-01-31,4.0,4.0,41.935483870967744,9.773846153846154,130.77999999999997,4.218709677419354,9.773846153846154,1962,Jan
1962-02-28,9.0,3.0,42.857142857142854,9.536666666666667,117.64000000000001,4.201428571428572,9.536666666666667,1962,Feb
1962-03-31,15.0,3.0,25.806451612903224,5.14625,42.48999999999999,1.370645161290322,5.146249999999999,1962,Mar
1962-04-30,6.0,5.0,50.0,9.292,140.79,4.693,9.292,1962,Apr
1962-05-31,7.0,3.0,29.03225806451613,4.688888888888889,44.739999999999995,1.4432258064516128,4.688888888888889,1962,May
1962-06-30,9.0,2.0,23.333333333333332,11.732857142857142,84.15999999999998,2.8053333333333326,11.732857142857142,1962,Jun
1962-07-31,8.0,3.0,38.70967741935484,11.207500000000001,137.17000000000002,4.42483870967742,11.207500000000001,1962,Jul
1962-08-31,6.0,2.0,29.03225806451613,6.9433333333333325,66.75999999999999,2.153548387096774,6.943333333333333,1962,Aug
1962-09-30,7.0,3.0,36.666666666666664,6.684545454545454,75.16999999999999,2.505666666666666,6.684545454545454,1962,Sep
1962-10-31,4.0,5.0,54.83870967741935,7.714117647058824,132.98999999999998,4.289999999999999,7.714117647058824,1962,Oct
1962-11-30,9.0,2.0,20.0,7.585,48.28999999999999,1.6096666666666664,7.585,1962,Nov
1962-12-31,4.0,4.0,48.38709677419355,6.654,104.03999999999999,3.3561290322580644,6.654,1962,Dec
1963-01-31,6.0,2.0,35.483870967741936,5.636363636363636,67.45999999999998,2.1761290322580638,5.636363636363637,1963,Jan
1963-02-28,5.0,4.0,42.857142857142854,8.480833333333335,104.8,3.742857142857143,8.480833333333335,1963,Feb
1963-03-31,5.0,3.0,29.03225806451613,10.045555555555556,94.77999999999999,3.0574193548387094,10.045555555555554,1963,Mar
1963-04-30,7.0,4.0,36.666666666666664,8.297272727272729,93.24,3.1079999999999997,8.297272727272727,1963,Apr
1963-05-31,8.0,2.0,29.03225806451613,11.024444444444445,104.13999999999997,3.3593548387096765,11.024444444444445,1963,May
1963-06-30,6.0,4.0,33.33333333333333,9.661,98.77999999999999,3.2926666666666664,9.661,1963,Jun
1963-07-31,10.0,1.0,19.35483870967742,10.928333333333333,68.27,2.202258064516129,10.928333333333333,1963,Jul
1963-08-31,4.0,4.0,58.06451612903226,8.832777777777777,160.63000000000002,5.181612903225807,8.832777777777777,1963,Aug
1963-09-30,22.0,1.0,10.344827586206897,16.683333333333334,52.080000000000005,1.7958620689655174,16.683333333333334,1963,Sep
1963-10-31,20.0,1.0,9.67741935483871,5.069999999999999,15.809999999999999,0.51,5.069999999999999,1963,Oct
1963-11-30,5.0,6.0,50.0,10.412666666666667,159.95999999999998,5.331999999999999,10.412666666666667,1963,Nov
1963-12-31,9.0,3.0,32.25806451612903,5.371,58.71999999999999,1.8941935483870964,5.371,1963,Dec
1964-01-31,5.0,3.0,45.16129032258064,9.128571428571428,129.9,4.190322580645161,9.128571428571428,1964,Jan
1964-02-29,6.0,3.0,31.03448275862069,5.495555555555556,50.69000000000001,1.747931034482759,5.495555555555557,1964,Feb
1964-03-31,8.0,2.0,25.806451612903224,9.52,78.26999999999998,2.524838709677419,9.52,1964,Mar
1964-04-30,8.0,3.0,23.333333333333332,9.084285714285715,68.26999999999998,2.275666666666666,9.084285714285715,1964,Apr
1964-05-31,8.0,4.0,35.483870967741936,4.255454545454545,49.13999999999999,1.5851612903225805,4.255454545454546,1964,May
1964-06-30,15.0,1.0,13.333333333333334,8.1475,36.28000000000001,1.2093333333333336,8.1475,1964,Jun
1964-07-31,5.0,3.0,38.70967741935484,10.236666666666666,125.1,4.035483870967742,10.236666666666666,1964,Jul
1964-08-31,11.0,2.0,29.03225806451613,10.975555555555557,102.77000000000001,3.315161290322581,10.975555555555555,1964,Aug
1964-09-30,15.0,1.0,13.333333333333334,8.485,37.52,1.2506666666666668,8.485,1964,Sep
1964-10-31,6.0,2.0,35.483870967741936,4.3590909090909085,49.88999999999999,1.6093548387096772,4.3590909090909085,1964,Oct
