,Prov,Nom de station,stnid,année déb.,mois déb.,année fin.,mois fin.,lat (deg),long (deg),élév (m),stns jointes,Tmax,Tmax90p,Tmin,Tmin10p,DG0
168,MB,LYNN LAKE,5061645,1952,4,2017,12,56.87,-101.08,357,Y,2.4684622106418614,22.74966666666667,-8.38562677715294,-31.457666666666668,969.2833333337268
169,MB,MORDEN EXP FARM,5021849,1904,3,2017,12,49.18,-98.08,298,Y,,,,,
170,MB,NORWAY HOUSE,5062040,1897,10,2017,12,53.96,-97.85,224,Y,4.99176988727007,23.752,-5.95542848144879,-28.96333333333333,1243.54
171,MB,PIERSON,501A7AR,1933,1,2017,12,49.18,-101.27,469,Y,9.865260835647597,27.736333333333334,-2.5604920617487874,-21.44766666666667,1439.133333334487
172,MB,PINAWA,5032162,1915,6,2017,3,50.18,-96.07,267,Y,8.399029347659537,26.06,-2.7347599709167074,-23.709999999999997,1558.4266666666665
173,MB,SPRAGUE,5022759,1915,9,2017,12,49.02,-95.6,329,Y,8.88815253263374,26.011000000000006,-3.1869790062169328,-23.324,1407.9333333337497
174,MB,THE PAS,5052881,1910,6,2017,12,53.97,-101.1,270,Y,5.78199086757991,24.398333333333333,-4.105699553359782,-25.530666666666665,1404.9766666666662
175,MB,WINNIPEG,502S001,1872,3,2017,12,49.92,-97.23,239,Y,8.71182470653333,26.807666666666666,-1.9802650799683137,-22.440333333333328,1681.1699999999998
176,ON,ATIKOKAN,6020LPQ,1917,1,2017,12,48.8,-91.58,442,Y,,,,,
177,ON,BEATRICE,6110607,1878,1,2017,12,45.13,-79.4,297,Y,10.89107927977446,25.606666666666666,-1.1740544352603746,-17.896333333333335,1449.75
178,ON,BELLEVILLE,6150689,1921,1,2017,12,44.15,-77.4,76,N,,,,,
179,ON,BIG TROUT LAKE,6010735,1939,2,2017,12,53.83,-89.87,224,Y,,,-7.484844887235588,-30.399000000000004,1019.4400000041566
180,ON,BROCKVILLE,6100971,1915,7,2017,12,44.6,-75.67,96,Y,12.161035193104924,26.6,3.2218152544205463,-12.516666666666667,2329.3799999999997
181,ON,CAMERON FALLS,6041110,1924,6,2017,12,49.15,-88.35,233,Y,8.307174328555101,24.747333333333334,-2.7717378819486105,-22.328,1313.5500000010402
182,ON,CHAPLEAU,6061361,1913,7,2015,3,47.82,-83.35,447,Y,8.020129265312624,24.598333333333333,-3.821207609042766,-23.921333333333326,1260.6633333333332
183,ON,CORNWALL,6101874,1950,11,2017,12,45.02,-74.75,64,N,12.215415698707819,27.518333333333334,3.1935320571497443,-12.889999999999999,2364.0233333340166
184,ON,DRYDEN,6032125,1914,1,2017,12,49.78,-92.83,413,Y,7.626248441242518,25.048,-2.4969006218882717,-23.26633333333333,1596.696666666667
185,ON,EARLTON,6072230,1938,9,2017,12,47.7,-79.85,243,Y,8.715179264524513,25.725666666666672,-2.9745368776369223,-22.935666666666666,1390.3666666666666
186,ON,FORT FRANCES,6022474,1917,1,2017,12,48.65,-93.43,342,Y,,,,,
187,ON,GORE BAY,6092920,1916,1,2017,12,45.88,-82.57,194,Y,10.345187165098645,24.733,1.5425070513110481,-14.507000000000001,1932.4500000050934
188,ON,HALIBURTON,6163171,1888,6,2017,12,45.03,-78.53,330,Y,11.29373472084173,25.955000000000002,-0.4735526246566167,-17.625,1613.84
189,ON,HAMILTON,6153193,1866,1,2017,12,43.17,-79.93,238,Y,12.731967113306883,27.06333333333333,3.3880944182448784,-10.04833333333333,2178.86
